"","from_id","from_name","message","created_time","likes_count","comments_count","id","post_id"
"1","132410550160336","Mentos","Radƒõji Mentos, dƒõkujem pƒõknƒõ. Ì†ΩÌ∏ãÌ†ΩÌπèÌ†ºÌøª","2017-06-27T07:50:07+0000",2,1,"1374210009312319_1374217892644864","123929424340390_1374210009312319"
"2","10207429332984160","Martin ≈†imko","ved ale ked si niekto odfoti moj biceps, tak som v prdeli :D","2017-06-27T11:12:22+0000",0,0,"1374210009312319_1374339305966056","123929424340390_1374210009312319"
"3","10206205874125706","Mag da Lena","","2017-06-23T12:53:38+0000",0,0,"1370557036344283_1370655086334478","123929424340390_1370557036344283"
"4","10207745678312356","Ma Terie","To vypad√° skvƒõle.","2017-06-07T16:10:13+0000",0,2,"1356052284461425_1356072067792780","123929424340390_1356052284461425"
"5","123929424340390","Studia nov√Ωch m√©di√≠ - StuNoMe","Potvrzeno. I Norov√© hlas√≠ v√≠tr a d√©≈°≈•, tak vzh≈Øru do Cafe Jedna.","2017-06-06T13:23:21+0000",0,0,"1354638007936186_1354808954585758","123929424340390_1354638007936186"
